index_rc,col,row,col_row,x_cent_geo,y_cent_geo,x1_nw_geo,y1_nw_geo,x2_sw_geo,y2_sw_geo,x3_se_geo,y3_se_geo,x4_ne_geo,y4_ne_geo,sh,hh,ni,hb,nw,he,rp,bw,by,sl,be,bb,mv,sn,st,th
0,0,0,00 - 000,5.3798422591,55.1245437470,5.3098063750,55.1601178195,5.3182172374,55.0842101634,5.4497605019,55.0889297531,5.4415847414,55.1648453262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,01 - 000,5.5115175533,55.1292000546,5.4415847414,55.1648453262,5.4497605019,55.0889297531,5.5813326487,55.0935149681,5.5733921457,55.1694382340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,02 - 000,5.6432213940,55.1337218550,5.5733921457,55.1694382340,5.5813326487,55.0935149681,5.7129328528,55.0979657677,5.7052277584,55.1738965021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,03 - 000,5.7749529534,55.1381091077,5.7052277584,55.1738965021,5.7129328528,55.0979657677,5.8445602880,55.1022821121,5.8370907490,55.1782200904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,04 - 000,5.9067114027,55.1423617738,5.8370907490,55.1782200904,5.8445602880,55.1022821121,5.9762141273,55.1064639631,5.9689802860,55.1824089605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,05 - 000,6.0384959119,55.1464798151,5.9689802860,55.1824089605,5.9762141273,55.1064639631,6.1078935424,55.1105112831,6.1008955368,55.1864630750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,06 - 000,6.1703056504,55.1504631951,6.1008955368,55.1864630750,6.1078935424,55.1105112831,6.2395977044,55.1144240363,6.2328356680,55.1903823975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,07 - 000,6.3021397863,55.1543118781,6.2328356680,55.1903823975,6.2395977044,55.1144240363,6.3713257832,55.1182021877,6.3647998449,55.1941668930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,08 - 000,6.4339974869,55.1580258297,6.3647998449,55.1941668930,6.3713257832,55.1182021877,6.5030769477,55.1218457036,6.4967872322,55.1978165278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,09 - 000,6.5658779186,55.1616050168,6.4967872322,55.1978165278,6.5030769477,55.1218457036,6.6348503663,55.1253545515,6.6287969936,55.2013312691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,10 - 000,6.6977802469,55.1650494075,6.6287969936,55.2013312691,6.6348503663,55.1253545515,6.7666452062,55.1287287001,6.7608282920,55.2047110855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,11 - 000,6.8297036365,55.1683589709,6.7608282920,55.2047110855,6.7666452062,55.1287287001,6.8984606339,55.1319681193,6.8928802894,55.2079559468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,12 - 000,6.9616472512,55.1715336774,6.8928802894,55.2079559468,6.8984606339,55.1319681193,7.0302958152,55.1350727801,7.0249521470,55.2110658239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,13 - 000,7.0936102542,55.1745734987,7.0249521470,55.2110658239,7.0302958152,55.1350727801,7.1621499150,55.1380426549,7.1570430254,55.2140406890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
